param_set,room,room_id,test_accuracy,f1,recall,precision,r2,mae,rmse,smape,confidence,winner_model,lstm_weight_pct,lgb_weight_pct,xgb_weight_pct,train_size,test_size
A,2C05-06,443,0.8072,0.7879,0.8072,0.8429,0.956,0.5578,0.8435,34.4343,65.6,lightgbm,0.0,100.0,0.0,817,166
A,2C09,445,0.9567,0.9574,0.9567,0.9663,0.9482,0.4283,0.8089,64.8789,35.1,lightgbm,0.0,100.0,0.0,720,277
A,2C10-11,446,0.8694,0.8607,0.8694,0.8615,0.9206,0.7735,1.1431,45.5108,54.5,xgboost,0.0,0.0,100.0,767,222
A,2C16-17,447,0.9325,0.9309,0.9325,0.9325,0.9385,0.7549,1.0364,51.0707,48.9,lightgbm,0.0,100.0,0.0,740,252
A,3C05-06,448,0.7767,0.7495,0.7767,0.785,0.9257,0.8034,1.1791,46.1701,53.8,lightgbm,0.0,100.0,0.0,768,215
A,1C-MEETING,487,0.9782,0.98,0.9782,0.9818,-0.1924,0.1808,0.7168,97.1574,2.8,xgboost,0.0,0.0,100.0,594,275
A,3C16-17,505,0.952,0.952,0.952,0.953,0.9485,0.7312,1.0804,36.0243,64.0,lightgbm,0.0,100.0,0.0,754,229
A,4C05,506,0.9798,0.9798,0.9798,0.9808,0.9737,0.1299,0.3188,6.6287,93.4,lightgbm,0.0,100.0,0.0,780,198
B,2C05-06,443,0.759,0.7271,0.759,0.8465,0.9635,0.6468,0.7687,37.5418,62.5,lightgbm,0.0,100.0,0.0,817,166
B,2C09,445,0.9097,0.9025,0.9097,0.9467,0.9496,0.5064,0.7981,63.5996,36.4,lightgbm,0.0,100.0,0.0,720,277
B,2C10-11,446,0.9775,0.9772,0.9775,0.9777,0.9558,0.6469,0.8525,42.0096,58.0,xgboost,0.0,0.0,100.0,767,222
B,2C16-17,447,0.9365,0.9356,0.9365,0.9358,0.9545,0.6863,0.8917,48.9447,51.1,lightgbm,0.0,100.0,0.0,740,252
B,3C05-06,448,0.8791,0.8763,0.8791,0.8822,0.946,0.8082,1.0052,44.9592,55.0,lightgbm,0.0,100.0,0.0,768,215
B,1C-MEETING,487,1.0,1.0,1.0,1.0,0.8653,0.1069,0.2409,95.0286,5.0,xgboost,0.0,0.0,100.0,594,275
B,3C16-17,505,0.9563,0.9586,0.9563,0.962,0.9367,0.9315,1.1974,38.3617,61.6,lightgbm,0.0,100.0,0.0,754,229
B,4C05,506,0.9798,0.9795,0.9798,0.9799,0.9669,0.1336,0.3572,14.2905,85.7,lightgbm,0.0,100.0,0.0,780,198
C,2C05-06,443,0.7651,0.7383,0.7651,0.8358,0.9623,0.689,0.7803,37.5393,62.5,lightgbm,0.0,100.0,0.0,817,166
C,2C09,445,0.9206,0.918,0.9206,0.9503,0.9529,0.523,0.7713,64.6721,35.3,lightgbm,0.0,100.0,0.0,720,277
C,2C10-11,446,0.9459,0.9429,0.9459,0.95,0.9599,0.6161,0.8122,41.3889,58.6,xgboost,0.0,0.0,100.0,767,222
C,2C16-17,447,0.9643,0.9638,0.9643,0.9654,0.9581,0.668,0.856,48.5304,51.5,lightgbm,0.0,100.0,0.0,740,252
C,3C05-06,448,0.8,0.781,0.8,0.8197,0.9324,0.9206,1.1243,46.5247,53.5,lightgbm,0.0,100.0,0.0,768,215
C,1C-MEETING,487,1.0,1.0,1.0,1.0,0.7757,0.1443,0.3109,94.7942,5.2,xgboost,0.0,0.0,100.0,594,275
C,3C16-17,505,0.9651,0.9669,0.9651,0.9695,0.9529,0.8722,1.0333,37.7975,62.2,lightgbm,0.0,100.0,0.0,754,229
C,4C05,506,0.9646,0.9648,0.9646,0.967,0.9595,0.1561,0.3955,23.7102,76.3,lightgbm,0.0,100.0,0.0,780,198
D,2C05-06,443,0.747,0.7133,0.747,0.8264,0.9594,0.7249,0.8101,36.7962,63.2,lightgbm,0.0,100.0,0.0,817,166
D,2C09,445,0.8881,0.8816,0.8881,0.9297,0.9339,0.6362,0.914,67.0713,32.9,lightgbm,0.0,100.0,0.0,720,277
D,2C10-11,446,0.9324,0.9277,0.9324,0.9396,0.9566,0.6889,0.8447,41.5189,58.5,xgboost,0.0,0.0,100.0,767,222
D,2C16-17,447,0.9563,0.9558,0.9563,0.957,0.9504,0.7537,0.9312,48.6744,51.3,lightgbm,0.0,100.0,0.0,740,252
D,3C05-06,448,0.7907,0.77,0.7907,0.8055,0.9369,0.943,1.0862,45.2349,54.8,lightgbm,0.0,100.0,0.0,768,215
D,1C-MEETING,487,0.9927,0.9933,0.9927,0.9948,0.8347,0.1321,0.2669,94.6609,5.3,xgboost,0.0,0.0,100.0,594,275
D,3C16-17,505,0.9432,0.9528,0.9432,0.9684,0.9588,0.8266,0.9664,36.8298,63.2,lightgbm,0.0,100.0,0.0,754,229
D,4C05,506,0.9747,0.9743,0.9747,0.9754,0.9441,0.1706,0.4646,23.4474,76.6,lightgbm,0.0,100.0,0.0,780,198
E,2C05-06,443,0.759,0.7385,0.759,0.8013,0.9419,0.8489,0.9689,36.5934,63.4,lightgbm,0.0,100.0,0.0,817,166
E,2C09,445,0.9134,0.9072,0.9134,0.9478,0.9226,0.7537,0.9889,66.7075,33.3,lightgbm,0.0,100.0,0.0,720,277
E,2C10-11,446,0.9099,0.9017,0.9099,0.9167,0.9328,0.8582,1.0516,42.0895,57.9,xgboost,0.0,0.0,100.0,767,222
E,2C16-17,447,0.9563,0.9557,0.9563,0.9578,0.9352,0.8795,1.0644,48.7097,51.3,lightgbm,0.0,100.0,0.0,740,252
E,3C05-06,448,0.6977,0.6772,0.6977,0.7172,0.9033,1.1913,1.3448,46.9229,53.1,lightgbm,0.0,100.0,0.0,768,215
E,1C-MEETING,487,0.9927,0.9927,0.9927,0.9927,0.8853,0.1216,0.2223,94.5581,5.4,xgboost,0.0,0.0,100.0,594,275
E,3C16-17,505,0.9039,0.9282,0.9039,0.9744,0.9341,1.0377,1.2216,37.9146,62.1,lightgbm,0.0,100.0,0.0,754,229
E,4C05,506,0.9495,0.9476,0.9495,0.9492,0.9076,0.2157,0.5971,31.3763,68.6,lightgbm,0.0,100.0,0.0,780,198
